initial_money,years,fee,stochastic_fee,seed,precision,final_money
2.718281828459045,20,2.0,False,42,float,-6.613313319248082e+18
2.718281828459045,20,2.0,False,42,decimal,-6.613313319248081e+18
2.718281828459045,20,2.0,True,,float,-6.378589638311805e+18
2.718281828459045,20,2.0,True,,decimal,-6.800022005467429e+18
2.718281828459045,20,2.0,True,42,float,-6.378589638311805e+18
2.718281828459045,20,2.0,True,42,decimal,-6.378589638311805e+18
2.718281828459045,50,1.0,False,,float,-4.3968039301820685e+48
2.718281828459045,50,1.0,False,,decimal,-7.158269719135774e+48
2.718281828459045,50,1.0,False,42,float,-4.3968039301820685e+48
2.718281828459045,50,1.0,False,42,decimal,-7.158269719135774e+48
2.718281828459045,50,1.0,True,,float,2.9343178988106616e+63
2.718281828459045,50,1.0,True,,decimal,2.7822179383174106e+63
2.718281828459045,50,1.0,True,42,float,2.9343178988106616e+63
2.718281828459045,50,1.0,True,42,decimal,2.9343178988106583e+63
2.718281828459045,50,0.5,False,,float,4.1337038439638623e+64
2.718281828459045,50,0.5,False,,decimal,4.1337038439638623e+64
2.718281828459045,50,0.5,False,42,float,4.1337038439638623e+64
2.718281828459045,50,0.5,False,42,decimal,4.1337038439638623e+64
2.718281828459045,50,0.5,True,,float,4.427135633844929e+64
2.718281828459045,50,0.5,True,,decimal,4.411925637795604e+64
2.718281828459045,50,0.5,True,42,float,4.427135633844929e+64
2.718281828459045,50,0.5,True,42,decimal,4.427135633844929e+64
2.718281828459045,50,2.0,False,,float,-8.267407687927728e+64
2.718281828459045,50,2.0,False,,decimal,-8.267407687927727e+64
2.718281828459045,50,2.0,False,42,float,-8.267407687927728e+64
2.718281828459045,50,2.0,False,42,decimal,-8.267407687927727e+64
2.718281828459045,50,2.0,True,,float,-7.973975898046657e+64
2.718281828459045,50,2.0,True,,decimal,-7.989185894095984e+64
2.718281828459045,50,2.0,True,42,float,-7.973975898046657e+64
2.718281828459045,50,2.0,True,42,decimal,-7.97397589804666e+64
3.0,10,1.0,False,,float,1022299.0
3.0,10,1.0,False,,decimal,1022299.0
3.0,10,1.0,False,42,float,1022299.0
3.0,10,1.0,False,42,decimal,1022299.0
3.0,10,1.0,True,,float,1372401.5327049443
3.0,10,1.0,True,,decimal,1426312.9219823275
3.0,10,1.0,True,42,float,1372401.5327049443
3.0,10,1.0,True,42,decimal,1372401.5327049443
3.0,10,0.5,False,,float,5954349.0
3.0,10,0.5,False,,decimal,5954349.0
3.0,10,0.5,False,42,float,5954349.0
3.0,10,0.5,False,42,decimal,5954349.0
3.0,10,0.5,True,,float,6304451.532704944
3.0,10,0.5,True,,decimal,6358362.9219823275
3.0,10,0.5,True,42,float,6304451.532704944
3.0,10,0.5,True,42,decimal,6304451.532704944
3.0,10,2.0,False,,float,-8841801.0
3.0,10,2.0,False,,decimal,-8841801.0
3.0,10,2.0,False,42,float,-8841801.0
3.0,10,2.0,False,42,decimal,-8841801.0
3.0,10,2.0,True,,float,-8491698.467295056
3.0,10,2.0,True,,decimal,-8437787.078017673
3.0,10,2.0,True,42,float,-8491698.467295056
3.0,10,2.0,True,42,decimal,-8491698.467295056
